Season,Team_1,Team_2,Event_Date
2023-2024,Minnesota Timberwolves,Dallas Mavericks,2023-10-05
2023-2024,Dallas Mavericks,Minnesota Timberwolves,2023-10-07
2023-2024,Golden State Warriors,Los Angeles Lakers,2023-10-08
2023-2024,Milwaukee Bucks,Chicago Bulls,2023-10-08
2023-2024,Detroit Pistons,Phoenix Suns,2023-10-08
2023-2024,Boston Celtics,Philadelphia 76ers,2023-10-08
2023-2024,Memphis Grizzlies,Indiana Pacers,2023-10-09
2023-2024,Toronto Raptors,Sacramento Kings,2023-10-09
2023-2024,Los Angeles Clippers,Utah Jazz,2023-10-09
2023-2024,New York Knicks,Boston Celtics,2023-10-09
2023-2024,Oklahoma City Thunder,San Antonio Spurs,2023-10-10
2023-2024,Los Angeles Lakers,Brooklyn Nets,2023-10-10
2023-2024,Atlanta Hawks,Cleveland Cavaliers,2023-10-10
2023-2024,Miami Heat,Charlotte Hornets,2023-10-10
2023-2024,Houston Rockets,Indiana Pacers,2023-10-11
2023-2024,Memphis Grizzlies,Milwaukee Bucks,2023-10-11
2023-2024,New Orleans Pelicans,Orlando Magic,2023-10-11
2023-2024,Los Angeles Clippers,Utah Jazz,2023-10-11
2023-2024,Phoenix Suns,Denver Nuggets,2023-10-11
2023-2024,Philadelphia 76ers,Boston Celtics,2023-10-11
2023-2024,Los Angeles Lakers,Sacramento Kings,2023-10-12
2023-2024,Cleveland Cavaliers,Orlando Magic,2023-10-12
2023-2024,Oklahoma City Thunder,Detroit Pistons,2023-10-12
2023-2024,Washington Wizards,Charlotte Hornets,2023-10-12
2023-2024,Atlanta Hawks,Memphis Grizzlies,2023-10-12
2023-2024,Chicago Bulls,Denver Nuggets,2023-10-13
2023-2024,New Orleans Pelicans,Houston Rockets,2023-10-13
2023-2024,Portland Trail Blazers,Phoenix Suns,2023-10-13
2023-2024,San Antonio Spurs,Miami Heat,2023-10-13
2023-2024,Los Angeles Lakers,Golden State Warriors,2023-10-14
2023-2024,Atlanta Hawks,New Orleans Pelicans,2023-10-14
2023-2024,New York Knicks,Minnesota Timberwolves,2023-10-14
2023-2024,Utah Jazz,Portland Trail Blazers,2023-10-15
2023-2024,Charlotte Hornets,Oklahoma City Thunder,2023-10-15
2023-2024,Miami Heat,Memphis Grizzlies,2023-10-15
2023-2024,Los Angeles Lakers,Milwaukee Bucks,2023-10-15
2023-2024,Denver Nuggets,Chicago Bulls,2023-10-16
2023-2024,Sacramento Kings,Golden State Warriors,2023-10-16
2023-2024,Indiana Pacers,Atlanta Hawks,2023-10-16
2023-2024,Brooklyn Nets,Philadelphia 76ers,2023-10-16
2023-2024,Boston Celtics,New York Knicks,2023-10-17
2023-2024,Orlando Magic,New Orleans Pelicans,2023-10-17
2023-2024,Phoenix Suns,Portland Trail Blazers,2023-10-17
2023-2024,San Antonio Spurs,Houston Rockets,2023-10-17
2023-2024,Miami Heat,Brooklyn Nets,2023-10-18
2023-2024,New York Knicks,Washington Wizards,2023-10-18
2023-2024,Los Angeles Clippers,Denver Nuggets,2023-10-18
2023-2024,Oklahoma City Thunder,Milwaukee Bucks,2023-10-18
2023-2024,Chicago Bulls,Toronto Raptors,2023-10-18
2023-2024,Charlotte Hornets,Boston Celtics,2023-10-19
2023-2024,Golden State Warriors,Sacramento Kings,2023-10-19
2023-2024,San Antonio Spurs,Houston Rockets,2023-10-19
2023-2024,Toronto Raptors,Washington Wizards,2023-10-20
2023-2024,Indiana Pacers,Cleveland Cavaliers,2023-10-20
2023-2024,Philadelphia 76ers,Atlanta Hawks,2023-10-20
2023-2024,Sacramento Kings,Utah Jazz,2023-10-20
2023-2024,Los Angeles Lakers,Phoenix Suns,2023-10-20
2023-2024,Los Angeles Clippers,Denver Nuggets,2023-10-20
2023-2024,Oklahoma City Thunder,Detroit Pistons,2023-10-20
2023-2024,Chicago Bulls,Minnesota Timberwolves,2023-10-20
2023-2024,Golden State Warriors,San Antonio Spurs,2023-10-21
2023-2024,Milwaukee Bucks,Memphis Grizzlies,2023-10-21
2023-2024,Houston Rockets,Miami Heat,2023-10-21
2023-2024,Dallas Mavericks,Detroit Pistons,2023-10-21
2023-2024,Denver Nuggets,Los Angeles Lakers,2023-10-24
2023-2024,Toronto Raptors,Minnesota Timberwolves,2023-10-25
2023-2024,Miami Heat,Detroit Pistons,2023-10-25
2023-2024,Brooklyn Nets,Cleveland Cavaliers,2023-10-25
2023-2024,Charlotte Hornets,Atlanta Hawks,2023-10-25
2023-2024,New York Knicks,Boston Celtics,2023-10-25
2023-2024,Indiana Pacers,Washington Wizards,2023-10-25
2023-2024,Orlando Magic,Houston Rockets,2023-10-25
2023-2024,Golden State Warriors,Phoenix Suns,2023-10-25
2023-2024,Milwaukee Bucks,Philadelphia 76ers,2023-10-26
2023-2024,Los Angeles Clippers,Portland Trail Blazers,2023-10-26
2023-2024,San Antonio Spurs,Dallas Mavericks,2023-10-26
2023-2024,Utah Jazz,Sacramento Kings,2023-10-26
2023-2024,Memphis Grizzlies,New Orleans Pelicans,2023-10-26
2023-2024,Chicago Bulls,Oklahoma City Thunder,2023-10-26
2023-2024,Cleveland Cavaliers,Oklahoma City Thunder,2023-10-27
2023-2024,Boston Celtics,Miami Heat,2023-10-27
2023-2024,Atlanta Hawks,New York Knicks,2023-10-27
2023-2024,Memphis Grizzlies,Denver Nuggets,2023-10-27
2023-2024,Charlotte Hornets,Detroit Pistons,2023-10-27
2023-2024,Los Angeles Lakers,Phoenix Suns,2023-10-27
2023-2024,Cleveland Cavaliers,Indiana Pacers,2023-10-28
2023-2024,Toronto Raptors,Philadelphia 76ers,2023-10-28
2023-2024,Washington Wizards,Memphis Grizzlies,2023-10-28
2023-2024,New Orleans Pelicans,New York Knicks,2023-10-28
2023-2024,Detroit Pistons,Chicago Bulls,2023-10-28
2023-2024,Sacramento Kings,Golden State Warriors,2023-10-28
2023-2024,Portland Trail Blazers,Orlando Magic,2023-10-28
2023-2024,Utah Jazz,Los Angeles Clippers,2023-10-28
2023-2024,Dallas Mavericks,Brooklyn Nets,2023-10-28
2023-2024,San Antonio Spurs,Houston Rockets,2023-10-28
2023-2024,Chicago Bulls,Toronto Raptors,2023-10-28
2023-2024,Houston Rockets,Golden State Warriors,2023-10-29
2023-2024,Oklahoma City Thunder,Denver Nuggets,2023-10-29
2023-2024,Phoenix Suns,Utah Jazz,2023-10-29
2023-2024,Minnesota Timberwolves,Miami Heat,2023-10-29
2024-2025,Denver Nuggets,Boston Celtics,2024-10-04
2024-2025,Los Angeles Clippers,Golden State Warriors,2024-10-05
2024-2025,Los Angeles Lakers,Minnesota Timberwolves,2024-10-05
2024-2025,Utah Jazz,New Zealand Breakers,2024-10-05
2024-2025,Toronto Raptors,Washington Wizards,2024-10-06
2024-2025,Charlotte Hornets,New York Knicks,2024-10-06
2024-2025,Boston Celtics,Denver Nuggets,2024-10-06
2024-2025,New Orleans Pelicans,Orlando Magic,2024-10-07
2024-2025,Los Angeles Lakers,Phoenix Suns,2024-10-07
2024-2025,Detroit Pistons,Milwaukee Bucks,2024-10-07
2024-2025,Philadelphia 76ers,New Zealand Breakers,2024-10-07
2024-2025,Atlanta Hawks,Indiana Pacers,2024-10-08
2024-2025,Detroit Pistons,Phoenix Suns,2024-10-08
2024-2025,Cleveland Cavaliers,Chicago Bulls,2024-10-08
2024-2025,Charlotte Hornets,Miami Heat,2024-10-08
2024-2025,Utah Jazz,Houston Rockets,2024-10-08
2024-2025,San Antonio Spurs,Oklahoma City Thunder,2024-10-08
2024-2025,Dallas Mavericks,Memphis Grizzlies,2024-10-08
2024-2025,New York Knicks,Washington Wizards,2024-10-09
2024-2025,Los Angeles Clippers,Brooklyn Nets,2024-10-09
2024-2025,Miami Heat,Atlanta Hawks,2024-10-10
2024-2025,Cleveland Cavaliers,Indiana Pacers,2024-10-10
2024-2025,Sacramento Kings,Golden State Warriors,2024-10-10
2024-2025,Oklahoma City Thunder,Houston Rockets,2024-10-10
2024-2025,San Antonio Spurs,Orlando Magic,2024-10-10
2024-2025,Minnesota Timberwolves,Philadelphia 76ers,2024-10-11
2024-2025,Orlando Magic,New Orleans Pelicans,2024-10-11
2024-2025,Washington Wizards,Toronto Raptors,2024-10-11
2024-2025,Milwaukee Bucks,Los Angeles Lakers,2024-10-11
2024-2025,Memphis Grizzlies,Charlotte Hornets,2024-10-11
2024-2025,Dallas Mavericks,Utah Jazz,2024-10-11
2024-2025,Oklahoma City Thunder,New Zealand Breakers,2024-10-11
2024-2025,Los Angeles Clippers,Portland Trail Blazers,2024-10-12
2024-2025,Phoenix Suns,Detroit Pistons,2024-10-12
2024-2025,Golden State Warriors,Sacramento Kings,2024-10-12
2024-2025,Boston Celtics,Toronto Raptors,2024-10-13
2024-2025,Sacramento Kings,Portland Trail Blazers,2024-10-13
2024-2025,New York Knicks,Minnesota Timberwolves,2024-10-13
2024-2025,Miami Heat,New Orleans Pelicans,2024-10-13
2024-2025,San Antonio Spurs,Utah Jazz,2024-10-13
2024-2025,Chicago Bulls,Memphis Grizzlies,2024-10-13
2024-2025,Boston Celtics,Philadelphia 76ers,2024-10-13
2024-2025,Brooklyn Nets,Washington Wizards,2024-10-14
2024-2025,Atlanta Hawks,Philadelphia 76ers,2024-10-14
2024-2025,Indiana Pacers,Memphis Grizzlies,2024-10-14
2024-2025,Golden State Warriors,Detroit Pistons,2024-10-14
2024-2025,Denver Nuggets,Phoenix Suns,2024-10-14
2024-2025,Miami Heat,San Antonio Spurs,2024-10-15
2024-2025,New York Knicks,Charlotte Hornets,2024-10-15
2024-2025,Toronto Raptors,Boston Celtics,2024-10-15
2024-2025,Los Angeles Clippers,Dallas Mavericks,2024-10-15
2024-2025,Milwaukee Bucks,Chicago Bulls,2024-10-15
2024-2025,Philadelphia 76ers,Brooklyn Nets,2024-10-16
2024-2025,Detroit Pistons,Cleveland Cavaliers,2024-10-16
2024-2025,Los Angeles Lakers,Golden State Warriors,2024-10-16
2024-2025,Utah Jazz,Sacramento Kings,2024-10-16
2024-2025,Denver Nuggets,Oklahoma City Thunder,2024-10-16
2024-2025,Houston Rockets,New Orleans Pelicans,2024-10-16
2024-2025,Dallas Mavericks,Milwaukee Bucks,2024-10-17
2024-2025,Indiana Pacers,Charlotte Hornets,2024-10-17
2024-2025,Chicago Bulls,Minnesota Timberwolves,2024-10-17
2024-2025,Portland Trail Blazers,Ulm,2024-10-17
2024-2025,Brooklyn Nets,Toronto Raptors,2024-10-18
2024-2025,Washington Wizards,New York Knicks,2024-10-18
2024-2025,Orlando Magic,Philadelphia 76ers,2024-10-18
2024-2025,Los Angeles Clippers,Sacramento Kings,2024-10-18
2024-2025,Phoenix Suns,Los Angeles Lakers,2024-10-18
2024-2025,Oklahoma City Thunder,Atlanta Hawks,2024-10-18
2024-2025,Houston Rockets,San Antonio Spurs,2024-10-18
2024-2025,Golden State Warriors,Los Angeles Lakers,2024-10-19
2024-2025,Portland Trail Blazers,Utah Jazz,2024-10-19
2024-2025,Minnesota Timberwolves,Denver Nuggets,2024-10-19
2024-2025,Memphis Grizzlies,Miami Heat,2024-10-19
2024-2025,Chicago Bulls,Cleveland Cavaliers,2024-10-19
2024-2025,Boston Celtics,New York Knicks,2024-10-22
2024-2025,Los Angeles Lakers,Minnesota Timberwolves,2024-10-23
2024-2025,Detroit Pistons,Indiana Pacers,2024-10-23
2024-2025,Atlanta Hawks,Brooklyn Nets,2024-10-23
2024-2025,Miami Heat,Orlando Magic,2024-10-23
2024-2025,Philadelphia 76ers,Milwaukee Bucks,2024-10-23
2024-2025,Toronto Raptors,Cleveland Cavaliers,2024-10-23
2024-2025,Houston Rockets,Charlotte Hornets,2024-10-24
2024-2025,New Orleans Pelicans,Chicago Bulls,2024-10-24
2024-2025,Utah Jazz,Memphis Grizzlies,2024-10-24
2024-2025,Los Angeles Clippers,Phoenix Suns,2024-10-24
2024-2025,Portland Trail Blazers,Golden State Warriors,2024-10-24
2024-2025,Washington Wizards,Boston Celtics,2024-10-24
2024-2025,Dallas Mavericks,San Antonio Spurs,2024-10-24
2024-2025,Denver Nuggets,Oklahoma City Thunder,2024-10-25
2024-2025,Sacramento Kings,Minnesota Timberwolves,2024-10-25
2024-2025,Orlando Magic,Brooklyn Nets,2024-10-25
2024-2025,Toronto Raptors,Philadelphia 76ers,2024-10-25
2024-2025,New York Knicks,Indiana Pacers,2024-10-25
2024-2025,Atlanta Hawks,Charlotte Hornets,2024-10-25
2024-2025,Cleveland Cavaliers,Detroit Pistons,2024-10-25
2024-2025,Houston Rockets,Memphis Grizzlies,2024-10-26
2024-2025,Milwaukee Bucks,Chicago Bulls,2024-10-26
2024-2025,Utah Jazz,Golden State Warriors,2024-10-26
2024-2025,Los Angeles Lakers,Phoenix Suns,2024-10-26
2024-2025,Portland Trail Blazers,New Orleans Pelicans,2024-10-26
